submission_date;state;tot_cases;conf_cases;prob_cases;new_case;pnew_case;tot_death;conf_death;prob_death;new_death;pnew_death;created_at;consent_cases;consent_deaths
03/11/2020;IA;14;;;1;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
04/17/2021;OH;1,052,099;886,836;165,263;1,987;512;18,991;18,991;0;0;0;04/18/2021 01:41:35 PM;Agree;Agree
10/25/2020;IA;115,844;;;1,213;70;1,634;;;3;0;10/26/2020 01:41:41 PM;Not agree;Not agree
03/06/2020;IA;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
10/18/2020;NM;36,788;;;445;0;937;;;5;0;10/20/2020 12:00:00 AM;N/A;Not agree
09/17/2020;RMI;0;0;0;0;0;0;0;0;0;0;09/18/2020 01:48:37 PM;Agree;Agree
09/15/2020;NY;207,341;;;460;0;9,003;;;8;0;09/16/2020 01:53:41 PM;Not agree;Not agree
11/04/2020;NM;50,251;;;1,011;0;1,172;;;27;3;11/06/2020 12:00:00 AM;N/A;Not agree
02/14/2020;IA;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
06/09/2020;RMI;0;0;0;0;0;0;0;0;0;0;06/10/2020 08:56:25 PM;Agree;Agree
09/08/2020;SD;15,403;;;103;0;173;171;2;0;0;09/09/2020 01:47:50 PM;N/A;Agree
05/13/2020;SD;3,732;;;69;0;39;39;0;0;0;05/14/2020 05:25:44 PM;N/A;Agree
04/24/2021;NY;1,107,238;;;2,292;0;19,298;;;10;0;04/25/2021 01:42:01 PM;Not agree;Not agree
06/08/2021;PA;1,206,439;1,010,741;195,698;450;140;27,395;;;35;28;06/09/2021 02:26:44 PM;Agree;Not agree
04/13/2021;RMI;4;4;0;0;0;0;0;0;0;0;04/14/2021 02:34:57 PM;Agree;Agree
08/24/2020;RMI;0;0;0;0;0;0;0;0;0;0;08/25/2020 02:02:54 PM;Agree;Agree
03/10/2020;NM;0;;;0;0;0;;;0;0;03/12/2020 12:00:00 AM;N/A;Not agree
09/24/2020;IA;83,582;;;1,225;77;1,302;;;8;0;09/25/2020 01:54:10 PM;Not agree;Not agree
04/01/2020;NY;36,273;;;3,617;;275;;;64;;03/31/2020 04:22:39 PM;Not agree;Not agree
11/21/2020;TN;358,719;331,522;27,197;5,977;709;4,571;4,176;395;67;11;11/21/2020 12:00:00 AM;Agree;Agree
08/25/2020;NM;24,535;;;66;0;801;;;3;0;08/27/2020 12:00:00 AM;N/A;Not agree
02/16/2021;SD;110,593;;;217;63;1,844;1,492;352;0;0;02/17/2021 02:51:58 PM;N/A;Agree
02/11/2021;RMI;4;4;0;0;0;0;0;0;0;0;02/12/2021 02:56:38 PM;Agree;Agree
01/31/2021;IA;319,247;;;691;66;4,901;;;250;250;02/01/2021 02:50:29 PM;Not agree;Not agree
12/18/2020;PA;538,817;490,524;48,293;9,329;768;13,608;;;216;-139;12/19/2020 02:42:31 PM;Agree;Not agree
03/07/2020;TN;4;4;0;2;0;0;0;0;0;0;03/07/2020 12:00:00 AM;Agree;Agree
09/13/2020;IA;74,506;;;809;25;1,218;;;1;0;09/14/2020 02:01:21 PM;Not agree;Not agree
